Parameters,PC1,PC2
press,0.030975919830270718,0.006857011693154433
times,0.026173211055030052,0.018549284739534346
member,0.04312127191041844,0.0007508643716553795
career,0.011045341926918853,0.018522674325496515
opinions,0.01616128188977964,0.017533793146955995
university,0.01264999407666867,0.011156240379751214
child,0.017612600416595164,0.012054524693031185
former,0.007164690092034212,0.009250766028529327
nfl,0.021209570301405366,0.02181884871055941
oil,0.009167521807548682,0.008203668366881613
relax,0.12922869558413888,-0.10072185160677175
binaural,0.10207718206195505,-0.09223681960837389
economic,0.015245389468335606,0.02626989621760297
ceo,0.012044381364259555,0.017661190750525028
journalist,0.007266030784900586,0.005657368360135938
historical,0.009448435849384533,0.010750481015156207
students,0.007406982464202428,0.010962232427460927
sgpn,0.005121669396957633,-0.0005618382967593943
director,0.01156063721617308,0.012462827921009542
chicago,0.002623616077084645,-0.0009671520696609579
security,0.021325696186534234,0.04856168541499279
date,0.011191287961943894,0.010827225007176925
Additional,-0.02231085189693214,-0.014705753265980774
